,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3100,0.005900144577026367,0.007196903228759766,0.008485794067382812,0.009538888931274414,0.010899782180786133,0.011859893798828125,0.012944936752319336,0.014105081558227539,0.015110969543457031,0.01644301414489746,0.017275094985961914,0.018661022186279297,0.019393205642700195,0.02042698860168457,0.021650075912475586,0.02252817153930664,0.02392101287841797,0.024677038192749023,0.02560114860534668,0.028191089630126953,0.02806401252746582,0.02925705909729004,0.029837846755981445,0.03157806396484375,0.03188896179199219,0.03275179862976074,0.03379082679748535,0.034551143646240234,0.03607606887817383,0.03650188446044922
3200,0.006417036056518555,0.007327079772949219,0.00908207893371582,0.0099029541015625,0.011334896087646484,0.012331962585449219,0.013751029968261719,0.014541149139404297,0.016043901443481445,0.0168459415435791,0.018285036087036133,0.018946170806884766,0.020488977432250977,0.02240896224975586,0.022903919219970703,0.02357196807861328,0.02506089210510254,0.025555133819580078,0.027333974838256836,0.027698993682861328,0.029575109481811523,0.029842853546142578,0.03154897689819336,0.032109975814819336,0.033766984939575195,0.03393697738647461,0.035578012466430664,0.03582406044006348,0.03761887550354004,0.03783297538757324
3300,0.006520986557006836,0.007654905319213867,0.009428977966308594,0.010202884674072266,0.011698007583618164,0.013894081115722656,0.014240026473999023,0.015046119689941406,0.01657390594482422,0.01743292808532715,0.018818140029907227,0.019681930541992188,0.02121901512145996,0.02223992347717285,0.023407936096191406,0.024260997772216797,0.02581000328063965,0.026430845260620117,0.028061866760253906,0.028675079345703125,0.030460119247436523,0.030807971954345703,0.0325160026550293,0.03326988220214844,0.034871816635131836,0.034973859786987305,0.038722991943359375,0.03705620765686035,0.03890085220336914,0.03917098045349121
3400,0.006623983383178711,0.007881879806518555,0.009553194046020508,0.010512828826904297,0.01205301284790039,0.01311802864074707,0.014435052871704102,0.015432119369506836,0.016941070556640625,0.017824888229370117,0.019207000732421875,0.02020406723022461,0.021897077560424805,0.02253103256225586,0.023914098739624023,0.02489495277404785,0.026484966278076172,0.02698802947998047,0.028757095336914062,0.03077101707458496,0.031311988830566406,0.031733036041259766,0.03341507911682129,0.03422999382019043,0.03578686714172363,0.036000967025756836,0.038182973861694336,0.03844308853149414,0.04008221626281738,0.04041695594787598
3500,0.006824016571044922,0.008169889450073242,0.00972890853881836,0.010867118835449219,0.012054920196533203,0.013833045959472656,0.014642000198364258,0.016195058822631836,0.017138004302978516,0.019917011260986328,0.0195620059967041,0.02089715003967285,0.022415876388549805,0.02334904670715332,0.0247650146484375,0.025825977325439453,0.027035951614379883,0.028660058975219727,0.029284954071044922,0.030946969985961914,0.031830787658691406,0.03317093849182129,0.03396296501159668,0.03524208068847656,0.03706812858581543,0.037297964096069336,0.03911781311035156,0.03959798812866211,0.04272913932800293,0.04184412956237793
3600,0.006825923919677734,0.008633852005004883,0.009857177734375,0.011443138122558594,0.012455940246582031,0.013908863067626953,0.015440940856933594,0.01633000373840332,0.017907142639160156,0.018824100494384766,0.020222902297973633,0.021361827850341797,0.02233600616455078,0.02428913116455078,0.024935007095336914,0.02666497230529785,0.027436017990112305,0.030391931533813477,0.030144929885864258,0.031232833862304688,0.03338885307312012,0.03367280960083008,0.03531002998352051,0.03621697425842285,0.0375521183013916,0.03908109664916992,0.03962993621826172,0.04154682159423828,0.0420222282409668,0.043437957763671875
3700,0.007068157196044922,0.008661985397338867,0.01040196418762207,0.011467933654785156,0.01297903060913086,0.014252901077270508,0.01701807975769043,0.016932964324951172,0.01819610595703125,0.019963979721069336,0.02061605453491211,0.02245807647705078,0.023185014724731445,0.02481985092163086,0.026257991790771484,0.027263879776000977,0.028859853744506836,0.029672861099243164,0.03130602836608887,0.032202959060668945,0.03366708755493164,0.03525209426879883,0.03588700294494629,0.037815093994140625,0.03862309455871582,0.04153108596801758,0.040815114974975586,0.041970014572143555,0.044062137603759766,0.04425191879272461
3800,0.007311105728149414,0.008883953094482422,0.010582208633422852,0.012047052383422852,0.01301884651184082,0.014915943145751953,0.015890121459960938,0.017498016357421875,0.018402814865112305,0.01996588706970215,0.021509170532226562,0.022614002227783203,0.023910999298095703,0.02521800994873047,0.02802896499633789,0.02850508689880371,0.029250144958496094,0.031051158905029297,0.031785011291503906,0.03351712226867676,0.034555912017822266,0.03577399253845215,0.03760194778442383,0.03836512565612793,0.04026198387145996,0.04064798355102539,0.042317867279052734,0.04309582710266113,0.044435977935791016,0.04631996154785156
3900,0.0074498653411865234,0.009297847747802734,0.012660980224609375,0.011773109436035156,0.01345515251159668,0.015218019485473633,0.01609516143798828,0.017741918563842773,0.01916813850402832,0.020233154296875,0.021635055541992188,0.02321791648864746,0.023817777633666992,0.025818824768066406,0.027205944061279297,0.027897119522094727,0.02962517738342285,0.031183958053588867,0.03173398971557617,0.035034894943237305,0.034613847732543945,0.03545689582824707,0.03727102279663086,0.03819680213928223,0.03951001167297363,0.041166067123413086,0.04176497459411621,0.04361414909362793,0.04486703872680664,0.04531717300415039
4000,0.007444143295288086,0.009607076644897461,0.010977029800415039,0.012019872665405273,0.01397705078125,0.015487909317016602,0.017992019653320312,0.018133878707885742,0.01922011375427246,0.02074599266052246,0.02232503890991211,0.023301124572753906,0.02462315559387207,0.026417970657348633,0.02729201316833496,0.028659820556640625,0.030226945877075195,0.03116917610168457,0.03266000747680664,0.03444790840148926,0.035208940505981445,0.03643012046813965,0.03999495506286621,0.03967881202697754,0.04080080986022949,0.042315006256103516,0.04335594177246094,0.04420185089111328,0.04600381851196289,0.04658102989196777
